id,full_name,gender_age,fractions,probability,grade
0,Luci Carwithim,F15,79%,79%,12th grade
1,Terrel Vosse,M18,74%,83%,10th grade
2,Cecil Celli,M18,70%,81%,10th grade
3,Tiffany Brocklehurst,F15,66%,84%,10th grade
4,Lionello Claricoates,M18,,,9th grade
5,Garv Leal,M15,74%,77%,12th grade
6,Francisca Jantet,F16,71%,83%,11th grade
7,Kimberli Corp,F15,,75%,10th grade
8,Kimberli Corp,F15,,75%,10th grade
9,Trude Keates,F15,73%,88%,10th grade
10,Melinda Crayker,F16,82%,90%,10th grade
11,Reta Band,F15,84%,88%,12th grade
12,Tonnie Boynes,M15,64%,74%,11th grade
13,Arlen Pinnick,M18,70%,85%,12th grade
14,Caroljean Liffe,F15,83%,82%,9th grade
15,Otis Hutten,M17,76%,86%,9th grade
16,Quincy Woodroffe,M16,67%,81%,10th grade
17,Quincy Woodroffe,M16,67%,81%,10th grade
18,Colman Wellan,M14,70%,78%,11th grade
19,Morris Lyman,M17,94%,83%,12th grade
20,Gwendolin Anyene,F15,84%,75%,11th grade
21,Deerdre Foukx,F17,78%,89%,11th grade
22,Aubrette Cottey,F15,73%,83%,11th grade
23,Ingrim Schwand,M18,73%,75%,11th grade
24,Rubie Lissandri,F17,,,12th grade
25,Jimmy Fedynski,M16,64%,90%,11th grade
26,Alanson Grieger,M14,76%,77%,9th grade
27,Mellicent Fullagar,F18,63%,73%,9th grade
28,Lula Karlqvist,F16,79%,79%,11th grade
29,Marna Vanelli,F18,65%,76%,9th grade
30,Cordie Jelleman,F14,72%,80%,12th grade
31,Raynell Ryson,F16,78%,72%,9th grade
32,Reade McCorley,M17,61%,77%,10th grade
33,Thedric Dwyer,M17,87%,80%,12th grade
34,Addi Duffie,F16,86%,73%,10th grade
35,Kleon Lewsley,M18,81%,75%,9th grade
36,Nesta Syratt,F16,59%,79%,11th grade
37,Bennie Dytham,F16,,86%,12th grade
38,Ancell Kimmings,M16,69%,80%,9th grade
39,Kit Wiggam,M18,76%,75%,10th grade
40,Francklin Bramhill,M14,75%,87%,12th grade
41,Mitch Doncom,M18,,77%,10th grade
42,Inga Cawthorn,F14,70%,75%,12th grade
43,Catherin Dresse,F18,72%,77%,11th grade
44,Hewie Gilgryst,M17,61%,82%,10th grade
45,Janifer Bartrum,F15,62%,72%,9th grade
46,Sergio Grinaway,M17,76%,84%,12th grade
47,Berrie Gamlyn,F15,65%,85%,11th grade
48,Lin Ziehms,M14,71%,84%,10th grade
49,Eimile Canniffe,F18,,,12th grade
50,Falito Jayume,M18,63%,76%,9th grade
51,Phil Simony,M17,78%,89%,11th grade
52,Woodman Bloore,M15,80%,76%,11th grade
53,Taryn Lambart,F14,68%,78%,10th grade
54,Odelia Dowzell,F16,75%,,12th grade
55,Tore Cracknell,M18,,91%,12th grade
56,Jacky Joel,M17,76%,72%,11th grade
57,Christiano Peto,M15,66%,76%,10th grade
58,Georas Basezzi,M16,86%,87%,12th grade
59,Zacharia Leroy,M15,70%,86%,10th grade
60,Gaby Gwynn,F15,,77%,12th grade
61,Georgianne Leavy,F17,83%,84%,12th grade
62,Wain Licciardo,M15,67%,73%,12th grade
63,Neall McElhinney,M17,64%,88%,9th grade
64,Adelaide Maybery,F18,69%,72%,10th grade
65,Corene Murrison,F14,67%,91%,10th grade
66,Willem Hollingdale,M16,70%,86%,10th grade
67,Fanya Beine,F18,73%,85%,12th grade
68,Marin Pindell,F18,,80%,11th grade
69,Herbie de la Valette Parisot,M17,77%,80%,12th grade
70,Ode Shaw,M16,73%,74%,12th grade
71,Melba Conkie,F18,65%,78%,10th grade
72,Ignaz Malt,M14,,73%,12th grade
73,Hamid Amiable,M18,78%,85%,11th grade
74,Gifford Bernli,M16,85%,,10th grade
75,Sigismundo Theml,M18,67%,86%,11th grade
76,Anica Besnard,F16,68%,84%,12th grade
77,Valeria Reynalds,F15,85%,74%,9th grade
78,Neille Dell,F15,75%,90%,9th grade
79,Pacorro Dingsdale,M16,87%,85%,9th grade
80,Erica Coushe,F14,74%,79%,10th grade
81,Mikkel Mallaby,M16,,80%,12th grade
82,Legra Tye,F14,80%,81%,11th grade
83,Linn Huster,M15,,,10th grade
84,Randal Pennacci,M18,63%,83%,9th grade
85,Noami McKay,F15,75%,76%,11th grade
86,Mireielle Crebbin,F17,73%,73%,10th grade
87,Panchito Mussett,M17,71%,87%,10th grade
88,Kelvin McReynolds,M18,61%,90%,12th grade
89,Keeley Walsham,F16,77%,85%,12th grade
90,Audrie Rein,F17,87%,86%,11th grade
91,Etienne Keoghan,M17,95%,81%,9th grade
92,Claiborn Rylett,M14,79%,69%,10th grade
93,Tanitansy Liddon,F14,85%,86%,10th grade
94,Lennie Ashbey,M16,,91%,11th grade
95,Denyse Dodgshun,F15,66%,81%,10th grade
96,Alphard Ackland,M17,58%,,10th grade
97,Bernie Bettridge,M14,74%,83%,12th grade
98,Rodd Ahearne,M16,79%,81%,9th grade
99,Adolphe Neljes,M17,64%,87%,10th grade
