id,full_name,gender_age,fractions,probability,grade
0,Morissa Skade,F16,72%,70%,10th grade
1,Jasper Comfort,M14,76%,73%,9th grade
2,Siana Pallas,F18,58%,77%,10th grade
3,Aldous Peele,M16,86%,83%,9th grade
4,Ethelred Easun,M14,85%,,12th grade
5,Goldarina Championnet,F14,83%,85%,10th grade
6,Gardie Sleeny,M14,67%,89%,11th grade
7,Ardyth Weaben,F14,60%,74%,11th grade
8,Tomi Curuclis,F16,71%,86%,9th grade
9,Rickie Toffler,F18,73%,83%,11th grade
10,Grover Knightly,M16,84%,81%,9th grade
11,Lowe Allatt,M17,81%,76%,11th grade
12,Aveline Sammes,F16,70%,90%,10th grade
13,Farlie Pawellek,M14,87%,77%,10th grade
14,Luca Scutching,M15,75%,87%,11th grade
15,Ardys Frid,F16,83%,91%,11th grade
16,Johnny Iveson,M17,70%,85%,10th grade
17,Mathilda De Vere,F17,,74%,9th grade
18,Delia Lightbourne,F14,58%,78%,9th grade
19,Traci de Verson,F14,71%,83%,9th grade
20,Hugh Andreou,M17,63%,80%,9th grade
21,William Eronie,M16,73%,68%,10th grade
22,Drake Freen,M17,84%,68%,12th grade
23,Teena Waulker,F18,80%,87%,9th grade
24,Jaye MacNucator,M16,72%,71%,10th grade
25,Averill Moth,M15,72%,70%,10th grade
26,Chanda Longmead,F18,65%,82%,11th grade
27,Arne Gartland,M14,91%,79%,10th grade
28,Deena Cayle,F15,71%,82%,9th grade
29,Thorpe Lindmark,M15,68%,78%,9th grade
30,Gunner Walentynowicz,M16,79%,81%,9th grade
31,Baird Loughnan,M16,93%,81%,12th grade
32,Diego Larwell,M17,81%,71%,12th grade
33,Harmon Seydlitz,M14,82%,87%,9th grade
34,Kevyn Lomax,F17,83%,86%,10th grade
35,Chico Ovenell,M14,75%,90%,11th grade
36,Romola Kettles,F18,71%,80%,10th grade
37,Betty Hubbuck,F18,95%,79%,9th grade
38,Harri Hendrichs,F14,83%,75%,12th grade
39,Gusti Jermey,F17,76%,79%,11th grade
40,Winslow Corona,M17,75%,,9th grade
41,Terese Ricketts,F15,64%,,11th grade
42,Nataniel Bohl,M15,77%,80%,11th grade
43,Bethany Hesbrook,F18,65%,86%,9th grade
44,Fernande Dockrey,F15,70%,85%,12th grade
45,Giordano Southon,M14,64%,85%,9th grade
46,Jerrine De Vaar,F17,88%,75%,12th grade
47,Andreas Morsley,M14,70%,86%,11th grade
48,Ber Ormond,M18,69%,,10th grade
49,Gian Smallpeace,M17,74%,73%,10th grade
50,Drona Maccaddie,F16,91%,84%,12th grade
51,Sella Swatton,F15,85%,79%,12th grade
52,Ches Alfuso,M15,74%,80%,12th grade
53,Rand Avison,M15,83%,,12th grade
54,Nichols Auld,M15,,90%,11th grade
55,Dion Dudson,M16,67%,90%,10th grade
56,Dedra Tune,F18,75%,77%,12th grade
57,Lowe Scamal,M15,98%,82%,10th grade
58,Phineas Concannon,M15,83%,90%,12th grade
59,Nertie Keast,F16,66%,81%,9th grade
60,Arluene Danson,F17,72%,,12th grade
61,Kelcey Cervantes,F15,77%,87%,12th grade
62,Tana Jeal,F15,69%,69%,9th grade
63,Eric Faber,M18,65%,70%,9th grade
64,Eddie Lambot,M14,77%,85%,11th grade
65,Pierrette Albro,F18,64%,84%,12th grade
66,Karyl Brosoli,F15,68%,88%,10th grade
67,Alexina Durham,F18,74%,82%,11th grade
68,Florie Pleat,F16,90%,83%,9th grade
69,Keefer Humbert,M18,81%,79%,11th grade
70,Meryl Exposito,F15,79%,88%,12th grade
71,Bing Son,M16,51%,80%,12th grade
72,Kingsley Evill,M15,83%,,11th grade
73,Scarlett Bancroft,F17,93%,74%,12th grade
74,Franciskus Ramsell,M16,87%,77%,12th grade
75,Whit Garrattley,M14,88%,81%,10th grade
76,Viv Room,F18,66%,85%,9th grade
77,Demott Boath,M16,71%,91%,11th grade
78,Marrilee Caldecott,F16,82%,82%,9th grade
79,Kat McCanny,F14,,90%,10th grade
80,Melvyn Duncanson,M18,74%,,10th grade
81,Ariadne Turville,F16,,75%,12th grade
82,Ilka Spillman,F17,58%,88%,11th grade
83,Rosina Dack,F18,63%,75%,12th grade
84,Darryl Southern,F16,81%,86%,9th grade
85,Bird Rodrig,F17,82%,84%,11th grade
86,Gian McGauhy,M18,73%,81%,12th grade
87,Lilia Craydon,F16,71%,82%,11th grade
88,Gabbi Dinsell,F14,60%,77%,11th grade
89,Ludovico Roskeilly,M15,73%,61%,12th grade
90,Riley Vedeneev,M16,64%,67%,11th grade
91,Levi Lifton,M14,76%,72%,9th grade
92,Fons Lauritzen,M16,53%,84%,11th grade
93,Ivory Deetch,F18,65%,77%,10th grade
94,Roslyn Kimmel,F17,54%,87%,10th grade
95,Eva Briant,F16,71%,,11th grade
96,Velvet Reedie,F15,76%,80%,12th grade
97,Garv Leathlay,M16,69%,81%,10th grade
98,Margit Read,F14,84%,,9th grade
99,Yurik Farrell,M18,68%,85%,9th grade
